#{"t_start": 1685739311.7708476, "env_id": null}
r,l,t
186467,379,217.329751
58911,204,217.663831
11149,47,217.744615
11315,48,217.823714
32165,168,219.91056
25649,85,220.043175
31999,167,220.290774
105936,307,220.742538
37368,165,220.992897
163115,484,221.721921
11149,47,221.803701
11315,48,221.883516
11315,48,221.963304
46671,156,222.203972
57704,364,222.761449
20099,87,224.74046
39609,125,224.925936
85842,199,225.217159
11149,47,225.291786
35115,208,225.602931
41492,121,225.795443
92093,233,226.149498
46594,144,226.373899
27049,127,226.575331
177090,454,227.265647
47161,139,227.483039
52624,191,229.63026
11144,47,229.707055
11315,48,229.783816
53537,273,230.187736
19070,72,230.30243
11149,47,230.375236
11315,48,230.452051
142180,821,231.677775
34326,108,231.851174
31994,167,232.106492
102519,356,232.657022
11315,48,232.739831
11315,48,234.661257
20265,88,234.796895
37379,193,235.085124
78691,234,235.446161
57306,205,235.753339
28956,106,235.922858
11149,47,236.004668
11315,48,236.084426
46843,227,236.427269
43613,113,236.605821
11149,47,236.683589
62282,158,236.934915
11164,47,237.016699
20265,88,237.154331
11315,48,237.233124
26915,368,239.638837
34864,120,239.824339
11144,47,239.896147
-13660971,5306,251.381263
25548,85,251.522885
27049,127,251.724758
20265,88,251.869708
38115,166,252.135968
11149,47,252.214628
38415,164,254.319261
31999,167,254.562614
-14834319,5368,266.187963
11149,47,266.26775
38519,125,266.464253
11149,47,266.54404
136694,325,267.052678
26771,78,269.020901
39759,124,269.204384
32165,168,269.453718
71381,231,269.795804
11149,47,269.876587
-2112749,2244,275.042812
20099,87,275.184404
27165,154,275.43274
47734,165,275.684095
20265,88,275.826718
20265,88,275.96731
32134,119,276.156832
60929,204,276.480966
32165,168,276.749249
27215,128,276.956692
20265,88,278.945572
35115,208,279.253721
32165,168,279.509069
20265,88,279.645701
27215,128,279.839157
88558,327,280.325884
57808,163,280.577212
20094,87,280.718831
27215,128,280.92229
42039,135,281.13173
20094,87,281.277313
177181,738,284.222952
43979,194,284.513176
27044,127,284.704664
11315,48,284.781431
26295,113,284.95796
62411,256,285.337441
11149,47,285.415232
48074,334,285.925868
24700,85,286.067463
53584,203,286.38165
31999,167,286.644918
33407,125,286.852219
43370,164,288.952565
11149,47,289.023376
38622,106,289.184946
20094,87,289.316565
48719,164,289.557919
34949,207,289.860111
25076,86,290.001761
26814,77,290.124433
11149,47,290.200233
27215,128,290.394684
11315,48,290.474111
11315,48,290.552899
51225,281,290.984774
42710,115,291.16626
31451,114,291.346806
34964,207,291.665953
32165,168,291.932213
33221,124,293.972947
58386,140,294.181418
11149,47,294.257192
40841,109,294.42577
11149,47,294.496552
-19189874,5967,308.831931
65944,447,309.476204
27049,127,309.668667
71816,172,309.936978
78918,236,310.295018
46605,160,310.545353
105909,320,311.031026
76286,318,311.52274
11315,48,313.451248
32165,168,313.695595
44647,164,313.938945
20099,87,314.071592
36122,106,314.231137
45420,227,314.568236
20094,87,314.710882
37381,127,314.912316
32165,168,315.162648
27215,128,315.365134
11315,48,315.448882
26479,74,315.568675
48398,157,315.807327
20094,87,315.95315
-13172795,5094,329.053462
11149,47,329.127292
11315,48,329.202093
61732,149,329.422475
20114,87,329.565094
11315,48,329.642918
54322,552,330.467682
11315,48,330.555477
27215,128,330.758929
-11113038,4649,343.224597
19699,407,343.807012
-121643,924,345.185359
11149,47,345.269106
11315,48,345.349916
20265,88,345.489517
11315,48,345.571507
33143,125,345.76995
11149,47,345.851732
11315,48,345.931545
51295,166,348.059699
32019,125,348.246201
87365,316,348.702977
56759,186,348.981237
20094,87,349.112885
11315,48,349.187685
20265,88,349.326314
20265,88,349.467909
25084,85,349.601582
11154,47,349.682335
11315,48,349.760127
27215,128,349.959594
20265,88,350.10321
20265,88,350.240844
11315,48,350.321655
41301,204,350.63781
27049,127,350.845256
11315,48,350.927037
20265,88,351.073746
25448,86,353.045148
37034,125,353.233644
32004,167,353.482979
20265,88,353.616594
11315,48,353.686437
32352,125,353.877922
25768,85,354.009571
38353,124,354.196073
56714,169,354.461337
25193,85,354.599993
25910,83,354.731641
31999,167,354.987958
32165,168,355.251225
20265,88,355.397833
54575,191,355.690082
20094,87,355.830704
11315,48,355.910464
74918,231,358.112476
19070,72,358.223208
20099,87,358.354828
11315,48,358.430625
11315,48,358.505455
-26280399,7055,374.464201
27217,118,374.6517
-262078,1203,378.287788
33708,135,378.499193
27049,127,378.697662
91313,360,379.241199
19119,72,379.363876
27049,127,379.563343
20265,88,379.704938
11315,48,379.78273
58419,228,380.137781
20099,87,380.285273
32019,125,380.482719
31899,124,382.536765
95277,292,382.954648
35894,247,383.318676
20265,88,383.459301
32165,168,383.713591
76701,357,384.250159
26699,167,384.51049
27514,80,384.64211
20094,87,384.781767
11315,48,384.859557
32165,168,385.123853
27215,128,385.343265
37720,165,385.597557
27049,127,387.630634
27215,128,387.823121
20265,88,387.965738
27215,128,388.153237
20265,88,388.28688
84401,227,388.629958
36499,111,388.804562
47544,205,389.116729
34627,124,389.311781
31999,167,389.572116
20265,88,389.71174
27215,128,389.912176
11315,48,389.994956
119129,402,390.6143
11149,47,392.535287
64480,403,393.112717
27054,127,393.307225
104034,215,393.63133
35899,247,394.005358
53667,155,394.243722
11149,47,394.32052
29976,113,394.498043
26673,76,394.621711
11149,47,394.700501
20265,88,394.839132
11315,48,394.917925
20265,88,395.062534
42599,136,395.278951
24918,84,395.416587
38423,125,395.615029
46375,114,397.628975
124394,292,398.055835
37901,164,398.298187
11149,47,398.373985
36065,248,398.743996
19865,408,399.359323
11315,48,399.437147
11315,48,399.515904
101799,632,400.47235
101279,280,402.734582
20094,87,402.867228
27215,128,403.055724
24309,75,403.171415
10649,447,403.825672
19865,408,404.443987
11315,48,404.53188
11315,48,404.609673
56534,191,404.910868
27049,127,405.109336
102030,278,405.532241
48082,158,407.60734
20099,87,407.74299
20265,88,407.880611
23357,84,408.009268
31999,167,408.258601
11315,48,408.338388
27215,128,408.533866
11315,48,408.615647
42270,185,408.904874
11149,47,408.982638
41832,279,409.399547
46629,107,409.570097
41362,117,409.754603
31799,327,410.245292
11315,48,410.330065
34781,119,410.52352
20094,87,412.518564
75879,587,413.36328
32165,168,413.617627
11315,48,413.697413
20265,88,413.83704
32165,168,414.09136
11315,48,414.17115
11315,48,414.253898
56821,186,414.533182
25877,84,414.67181
74343,192,414.969018
163025,290,415.417818
47710,203,417.56453
11149,47,417.638333
62490,306,418.082147
-401,487,418.816185
20265,88,418.958777
26651,445,419.632006
96129,306,420.10272
13814,73,420.224423
135664,384,422.650512
21767,72,422.763215
112476,415,423.364604
11315,48,423.446383
16587,73,423.569059
31919,125,423.758551
57837,205,424.070717
13979,114,424.251235
91316,314,424.729929
11164,47,424.809743
20265,88,424.949369
11315,48,425.031124
66723,249,425.420083
27049,127,427.456669
19735,78,427.577347
41464,146,427.791776
58596,196,428.079009
44874,164,428.32931
35899,247,428.708325
63727,627,429.654768
11164,47,429.73933
20265,88,429.875962
52320,197,430.178161
51205,164,432.28852
47669,230,432.627585
20099,87,432.75926
65215,154,432.986652
34949,207,433.300785
48571,155,433.539147
47905,166,433.79948
11315,48,433.882259
20261,113,434.053773
44374,141,434.278686
11144,47,434.358501
70947,277,434.782369
20099,87,434.92399
20265,88,435.060597
11315,48,435.152352
11315,48,435.230172
79813,353,437.601835
34949,207,437.906022
27215,128,438.09751
192426,540,438.897368
58121,205,439.21253
69903,184,439.503724
20099,87,439.644376
45195,135,439.853817
20099,87,439.99444
19865,408,442.464812
27215,128,442.654305
11315,48,442.731127
11315,48,442.808893
499119,993,444.273571
61199,154,444.519941
20114,87,444.660565
20265,88,444.801189
27215,128,445.002658
73375,231,445.364655
11149,47,447.285467
43728,193,447.572701
68982,306,448.011527
11144,47,448.089293
36065,248,448.47127
30015,154,448.711657
11144,47,448.791446
46475,147,449.013849
97060,279,449.433727
27049,127,449.638181
11315,48,449.722957
103690,432,452.239007
24918,84,452.367657
11154,47,452.445422
42055,111,452.607019
11144,47,452.682814
65625,282,453.100671
46788,138,453.318117
20094,87,453.454749
33089,124,453.65123
36431,192,453.948432
11149,47,454.028219
20265,88,454.172832
36065,248,454.5488
11315,48,454.633601
20265,88,454.774228
20265,88,454.918839
11315,48,454.996631
-28335,568,457.690338
32165,168,457.944649
45365,165,458.198974
25252,85,458.335609
81888,435,458.986869
99271,382,459.573273
41977,234,459.945279
48025,159,460.200597
11144,47,460.282406
37680,156,462.364842
31794,327,462.841569
11315,48,462.917365
25084,85,463.049014
37731,124,463.241472
27054,127,463.436976
27215,128,463.638411
37892,125,463.832839
106127,345,464.356442
180845,381,464.931874
39079,123,465.132366
27049,127,465.333801
57152,439,467.818838
20265,88,467.957469
44410,565,468.786253
27054,127,468.986718
27215,128,469.185189
11315,48,469.263949
11315,48,469.34576
67763,242,469.718759
58855,228,470.074783
105704,227,472.27648
24578,78,472.399117
43035,120,472.575674
75122,239,472.929723
107324,355,473.458315
20114,87,473.599941
11315,48,473.681718
77125,325,474.16842
11315,48,474.252166
26027,84,474.386807
27049,127,474.588297
42798,269,475.002189
31994,167,475.265486
65975,306,477.558428
11144,47,477.636245
20265,88,477.766871
11315,48,477.841699
65115,231,478.181789
73308,265,478.576707
56780,205,478.894856
24850,113,479.074734
25949,83,479.215359
58355,155,479.456713
26129,112,479.63521
31999,167,479.898533
67517,232,480.259564
20094,87,482.2361
19865,408,482.830511
-22805,676,483.831863
54199,203,484.16295
20099,87,484.305597
11315,48,484.393362
55263,198,484.701538
106533,223,485.050606
27064,127,485.253037
42104,320,487.561736
11144,47,487.636509
43365,116,487.810073
11149,47,487.887867
70924,341,488.3975
55424,131,488.601958
25275,80,488.731612
20094,87,488.870239
11315,48,488.946037
35115,208,489.262164
48997,182,489.550422
20099,87,489.691019
63591,171,489.96235
30749,193,492.110636
61543,150,492.340023
