#{"t_start": 1685736041.1088688, "env_id": null}
r,l,t
11144,47,78.700466
58221,236,79.020179
11149,47,79.094547
11315,48,79.166387
36065,248,79.508065
11315,48,79.576056
11315,48,79.654377
25779,85,79.78007
37271,156,79.994666
38441,115,80.161448
8299,47,80.23781
11315,48,80.307627
8465,48,80.380027
39865,126,80.555395
39413,124,80.736913
11149,47,80.811248
11315,48,80.881066
20265,88,81.011307
11315,48,81.08817
11315,48,81.157987
11315,48,81.229794
11315,48,81.307585
37675,126,81.498078
11315,48,81.568486
9915,48,81.640296
11315,48,81.713132
37689,110,81.87925
41600,565,82.649401
25692,85,82.772641
11149,47,82.843017
11315,48,82.91724
11315,48,82.984625
11315,48,83.058461
61272,446,83.652532
41210,116,83.823234
11159,47,83.88809
11315,48,83.958417
11315,48,84.035208
11315,48,84.103591
46201,112,84.263198
11144,47,84.337566
39840,125,84.514125
-23039,513,85.210396
11149,47,85.281765
35106,120,85.457966
11149,47,85.539232
11315,48,85.615602
11315,48,85.689447
20265,88,85.818741
11315,48,85.889086
35115,208,86.180409
56779,1264,87.933407
43655,118,88.118587
38083,125,88.312629
11154,47,88.384473
11315,48,88.455286
11315,48,88.526094
11315,48,88.59647
11315,48,88.667497
11315,48,88.73734
11315,48,88.807713
11315,48,88.877559
11315,48,88.950336
11315,48,89.025148
33825,108,89.18635
11144,47,89.257155
11315,48,89.326968
11315,48,89.399309
11315,48,89.469122
32165,168,89.701096
16765,74,89.814358
11144,47,89.885199
11315,48,89.952023
11315,48,90.024825
11315,48,90.0962
11315,48,90.166576
20265,88,90.295234
11315,48,90.370067
11315,48,90.438856
11315,48,90.510691
11315,48,90.585491
11315,48,90.655335
11315,48,90.728354
25294,85,90.852124
11154,47,90.921574
11315,48,90.991418
47476,166,91.216411
78379,263,91.579987
11164,47,91.651344
46825,114,91.814471
11315,48,91.887195
32165,168,92.123127
11315,48,92.201457
36065,248,92.54217
11315,48,92.618029
11315,48,92.689405
11315,48,92.760213
21461,75,92.873507
11149,47,92.945312
11315,48,93.017156
9865,48,93.089499
11315,48,93.16228
21915,394,93.68645
11144,47,93.760254
11315,48,93.83362
42891,146,94.048079
11315,48,94.118815
11315,48,94.190753
27215,128,94.372333
11315,48,94.438187
11315,48,94.509001
90821,221,94.811459
11149,47,94.882333
11315,48,94.953144
57373,175,95.196151
47388,164,95.425455
11154,47,95.497797
24994,86,95.62403
11154,47,95.692945
11315,48,95.764753
11315,48,95.836128
11315,48,95.908141
11315,48,95.979949
48359,155,96.199957
74117,278,96.580103
-2039280,2460,99.813994
8314,47,99.893812
11315,48,99.973599
11315,48,100.048406
11315,48,100.121829
39780,126,100.309829
11315,48,100.383638
11315,48,100.470408
11315,48,100.543212
25126,85,100.670411
11154,47,100.743216
11315,48,100.816459
11315,48,100.890262
11315,48,100.965628
11315,48,101.038656
11315,48,101.12048
11315,48,101.198272
38287,118,101.372403
11149,47,101.445209
93748,169,101.696138
11144,47,101.768974
47425,235,102.109411
21262,74,102.223781
11149,47,102.294591
37482,125,102.485219
11154,47,102.55301
25692,85,102.674308
11149,47,102.746114
11315,48,102.817489
11315,48,102.88833
13965,74,102.995044
11144,47,103.065398
11315,48,103.136239
11315,48,103.21104
41085,119,103.374257
59168,152,103.587279
29519,113,103.741465
11159,47,103.811307
11315,48,103.882484
11315,48,103.953295
66342,190,104.210824
11149,47,104.284626
11315,48,104.354472
11315,48,104.425882
11315,48,104.49868
11315,48,104.567627
11315,48,104.639439
11315,48,104.710222
11315,48,104.785051
9765,48,104.853897
11315,48,104.925301
11315,48,104.998106
11315,48,105.070481
148310,394,105.594704
45708,111,105.754421
11144,47,105.82726
68628,146,106.03633
11149,47,106.102184
11315,48,106.173992
11315,48,106.24646
11315,48,106.3173
52195,401,106.856318
63586,149,107.064326
11329,48,107.140157
11315,48,107.213525
11315,48,107.293203
11315,48,107.367601
11315,48,107.438409
11315,48,107.508223
11315,48,107.581235
20265,88,107.711452
11315,48,107.783289
11315,48,107.853134
11315,48,107.929929
24965,74,108.03618
11144,47,108.10742
11315,48,108.179294
11315,48,108.251133
11315,48,108.322506
11315,48,108.394345
11315,48,108.466185
32513,120,108.640811
11144,47,108.715403
38155,165,108.937568
11149,47,109.011926
115477,311,109.431469
21206,73,109.53918
11149,47,109.60853
11315,48,109.685359
11315,48,109.758164
20265,88,109.886378
11315,48,109.958186
11315,48,110.028997
45303,115,110.193511
32014,167,110.447306
11315,48,110.516122
19334,73,110.631868
11149,47,110.702219
11315,48,110.784029
8565,48,110.857389
16645,75,110.973647
31994,167,111.223011
25158,86,111.354659
39704,125,111.557207
11315,48,111.637618
11315,48,111.728377
20265,88,111.872496
59331,146,112.098319
74255,359,112.603293
11144,47,112.668123
48571,155,112.880699
11315,48,112.945526
11315,48,113.012909
11315,48,113.08229
38802,125,113.249407
11315,48,113.315266
11315,48,113.383085
24965,74,113.490309
11144,47,113.5527
11315,48,113.620564
11315,48,113.68738
105275,268,114.05947
19846,76,114.1742
11144,47,114.24598
11315,48,114.318811
26915,368,114.820534
35115,208,115.128922
11315,48,115.197893
11315,48,115.269702
11315,48,115.344508
11315,48,115.425299
11315,48,115.496101
26839,77,115.620281
11149,47,115.695554
11315,48,115.776367
11315,48,115.850331
11315,48,115.921173
11315,48,115.991984
11315,48,116.061769
11315,48,116.129141
11315,48,116.214906
-13285,528,116.949405
11315,48,117.019219
11315,48,117.091603
11315,48,117.161447
11315,48,117.236752
11315,48,117.308609
11315,48,117.385407
11315,48,117.457185
11315,48,117.529581
11315,48,117.601397
11315,48,117.669247
38436,125,117.855759
11149,47,117.93059
11315,48,117.997411
26406,405,118.549101
26801,73,118.656504
11149,47,118.729336
63004,245,119.105293
27073,78,119.227559
-42252,477,119.922775
20099,87,120.046446
11315,48,120.118324
48166,165,120.349216
-86082125,12111,136.777523
81020,349,137.255444
11144,47,137.328765
32165,168,137.566755
69504,193,137.844586
11164,47,137.915421
11315,48,137.98723
11315,48,138.0606
11315,48,138.131473
11315,48,138.212258
73029,449,138.810551
36862,125,138.993128
-28517,785,140.03493
28710,94,140.172628
11144,47,140.245781
11315,48,140.319009
11315,48,140.390227
3352,559,141.13083
79584,278,141.514987
110374,504,142.185507
36926,124,142.365774
11154,47,142.439612
-43281,793,143.54517
11315,48,143.620536
11315,48,143.690354
11315,48,143.762158
11315,48,143.844502
11315,48,143.921799
11315,48,143.999614
39189,125,144.192136
