#{"t_start": 1685734233.8941262, "env_id": null}
r,l,t
11315,48,195.214133
58542,140,195.43433
72334,183,195.723235
86968,457,196.438477
55429,218,198.653452
27044,127,198.843915
49640,148,199.067346
27044,127,199.267844
20265,88,199.410493
36065,248,199.787513
56364,587,200.677163
82660,416,201.319186
31794,327,203.696752
59361,271,204.100294
13749,73,204.214021
31994,167,204.467949
35015,288,204.908866
11315,48,204.988682
12448,193,205.287882
42934,564,206.157314
11315,48,206.243083
24341,77,206.375268
94368,231,208.622533
315535,720,209.695966
34949,207,210.022066
62868,324,210.537199
154978,397,211.223073
11149,47,211.305856
20265,88,211.459488
60610,365,213.912601
20265,88,214.047244
27215,128,214.237741
167663,312,214.714052
78230,236,215.075116
66797,244,215.448504
20099,87,215.593693
19865,408,216.223615
23357,84,216.359813
27409,75,216.48402
105931,261,218.783221
48388,205,219.094417
61462,219,219.419583
26764,367,220.004421
39629,113,220.18095
11149,47,220.259712
64832,285,220.702556
20265,88,220.847172
44395,164,221.122464
58019,394,221.770291
47359,128,223.859067
24869,85,223.989718
11154,47,224.066513
27215,128,224.262553
25126,85,224.394234
27054,127,224.584756
37857,166,224.834164
199376,497,225.5927
11315,48,225.67451
32165,168,225.937347
49546,166,226.194691
31781,117,226.384789
125713,292,226.840114
20099,87,228.85103
16587,73,228.963728
27049,127,229.154755
27215,128,229.349265
61694,423,229.98926
93005,357,230.532809
72810,281,230.971609
47272,164,231.233999
20104,87,231.376156
24871,86,231.516782
78142,259,231.927683
42207,106,233.970399
11144,47,234.04323
133708,298,234.48664
32165,168,234.738636
25895,84,234.874244
11149,47,234.951041
24953,86,235.088701
40052,156,235.335042
129304,318,235.815299
20099,87,235.954963
33133,124,236.149944
24199,113,236.334988
72355,236,236.701154
31999,167,236.965448
27215,128,239.035296
67085,236,239.392569
163356,338,239.894308
44254,160,240.135636
37492,325,240.631354
37760,125,240.83335
11315,48,240.911144
121887,299,241.378089
48911,156,241.629497
71992,283,243.947615
11315,48,244.023412
36065,248,244.389525
32957,124,244.577068
20099,87,244.707226
20265,88,244.847414
32663,125,245.034885
21669,72,245.145589
11149,47,245.218423
57024,180,245.487705
60334,244,245.85977
11149,47,245.940554
11315,48,246.025359
30594,95,246.180056
11144,47,246.257325
27215,128,246.462373
37925,107,246.645882
11149,47,246.723647
11814,605,249.519692
11154,47,249.593061
70430,315,250.062879
33521,192,250.365044
20099,87,250.503672
253793,665,251.518289
48768,165,251.778565
25488,84,251.919216
11149,47,251.999973
21714,77,252.130652
35894,247,254.373878
61553,302,254.827278
11144,47,254.901052
20265,88,255.03971
42202,148,255.265108
73209,401,255.871116
59584,283,256.311101
11154,47,256.390892
11315,48,256.473669
27215,128,256.684109
60703,150,256.924466
56766,596,259.694595
11144,47,259.767401
-397910,1381,261.857156
31999,167,262.131418
94571,295,264.448293
26744,367,264.987414
11315,48,265.067201
11315,48,265.14699
71049,359,265.700542
32165,168,265.961944
58640,179,266.243293
27049,127,266.447775
27215,128,266.651232
50659,205,266.970348
93562,317,269.350384
21933,73,269.462647
34849,287,269.889507
11315,48,269.964307
33265,124,270.152806
35899,247,270.521854
25955,85,270.656523
27049,127,270.866012
23237,85,271.000131
11154,47,271.078948
50283,165,271.343214
35115,208,271.662389
27215,128,271.870345
11315,48,271.953684
27215,128,272.161166
20265,88,274.18998
27215,128,274.384592
65644,137,274.586053
-71945,797,275.750144
11149,47,275.822949
20265,88,275.970526
121505,351,276.518094
11149,47,276.597879
-64435,648,279.473695
207889,538,280.271558
3049,473,280.988904
11144,47,281.067726
60834,406,281.688701
66491,445,284.260234
25089,136,284.467244
11159,47,284.546033
27215,128,284.739516
27215,128,284.932001
25563,85,285.065645
60871,266,285.460137
27049,127,285.660627
11315,48,285.735398
24919,85,285.875795
27054,127,286.073395
21559,75,286.194644
42997,118,286.382141
11149,47,286.461928
27215,128,286.66339
11315,48,286.741183
11315,48,286.820968
16765,74,286.945635
31994,167,287.213334
38969,125,289.289156
11315,48,289.366513
20265,88,289.504146
19165,74,289.61884
35894,247,289.978877
27640,78,290.102546
34149,135,290.307
54611,157,290.539351
11149,47,290.613181
11315,48,290.688976
71765,367,291.243715
115591,367,291.810833
26749,367,294.259584
36065,248,294.632635
20265,88,294.770267
37320,125,294.9568
11154,47,295.030608
39189,125,295.223083
67178,347,295.760215
26819,112,295.938339
73175,320,296.438085
25548,85,296.582232
201874,504,297.357669
37691,165,299.538324
34949,207,299.868136
261848,518,300.64852
11149,47,300.733267
32165,168,301.008621
116369,239,301.385653
61596,147,301.626175
20099,87,301.78525
50347,164,302.06008
11149,47,302.139869
47545,204,302.466137
61382,154,304.611965
63758,192,304.905747
59528,157,305.154117
20099,87,305.296266
11315,48,305.375925
37114,126,305.572593
34615,109,305.738253
27044,127,305.933737
62094,233,306.29756
11149,47,306.379889
20265,88,306.530592
57343,186,306.825952
70804,234,307.195528
96883,220,307.574494
27049,127,307.789428
57931,159,309.932931
25744,83,310.07217
43825,625,310.984461
37916,164,311.246829
118516,352,311.785536
25143,84,311.931681
32796,123,312.133019
11149,47,312.211866
40115,404,312.829951
106424,323,315.187683
38109,117,315.372848
11149,47,315.445653
46092,205,315.761377
65396,149,316.005563
20109,87,316.153878
11315,48,316.243231
27215,128,316.448411
105860,392,317.069474
30276,522,317.871207
11154,47,317.960977
20265,88,319.989936
36065,248,320.361098
20261,113,320.53663
27049,127,320.730086
20265,88,320.862758
60153,202,321.168977
97100,277,321.591967
68683,238,321.961108
20099,87,322.102701
11315,48,322.181492
34944,113,322.363041
31999,167,322.629294
38371,164,322.891197
61369,555,325.598837
34964,207,325.912538
51836,157,326.144985
51059,163,326.390886
31999,167,326.65126
45365,165,326.913158
45756,115,327.095667
24314,73,327.218313
27044,127,327.422793
20265,88,327.56641
44563,164,327.826753
113979,315,330.195306
-2231,721,331.290086
24665,675,332.315479
27049,127,332.517424
20265,88,332.660042
20265,88,332.805657
11315,48,332.886558
11315,48,332.965913
27215,128,335.046615
64543,196,335.341829
92779,331,335.830583
20094,87,335.964762
11315,48,336.041126
27215,128,336.236733
20265,88,336.37935
11315,48,336.459135
18595,73,336.580784
52407,190,336.86904
60444,243,337.243103
20265,88,337.384724
20265,88,337.533302
11315,48,337.612626
25911,85,337.751297
20099,87,337.895486
9965,48,337.974275
20265,88,338.118889
27215,128,340.189357
65947,148,340.412243
-31991,713,341.458739
25832,83,341.585403
67841,277,342.019281
11149,47,342.096069
70715,175,342.369965
27049,127,342.575545
64316,151,342.814871
69214,191,343.124074
64027,178,345.267377
11149,47,345.350182
27805,77,345.470863
11144,47,345.544666
203314,365,346.079753
20099,87,346.233342
27215,128,346.429844
115427,383,347.010916
35904,177,347.293783
49917,164,347.553139
38265,154,347.802444
27044,127,348.00493
114128,364,350.432917
61364,152,350.664341
31994,167,350.916238
35115,208,351.228397
35015,288,351.668729
135561,351,352.209823
41223,203,352.529047
70249,190,352.835271
60597,290,353.287093
11149,47,355.231257
27215,128,355.423772
24912,86,355.554426
54059,159,355.798848
11144,47,355.876144
37685,114,356.050188
30829,99,356.20178
11144,47,356.277578
32165,168,356.528908
11315,48,356.603705
43529,117,356.787218
11149,47,356.866482
26663,75,356.990208
11149,47,357.06803
48550,147,357.298445
138893,348,357.840196
64349,194,358.150364
20094,87,358.292986
20265,88,360.309083
11315,48,360.383855
32165,168,360.639703
20265,88,360.776338
27215,128,360.970819
68464,326,361.453655
25035,86,361.588299
20104,87,361.719953
27215,128,361.912469
11315,48,361.986835
27215,128,362.191356
25851,84,362.331519
11149,47,362.411305
45463,207,362.737405
49600,140,362.958841
11149,47,363.038628
59039,346,365.48689
20099,87,365.62705
-40653,765,366.75626
78493,266,367.171763
49657,165,367.442327
11315,48,367.530696
129462,539,368.356954
93679,250,370.653554
11149,47,370.737333
72425,226,371.114835
33437,114,371.318336
52261,195,371.62512
56146,246,372.015562
34954,207,372.343252
11315,48,372.427592
11315,48,372.508404
99504,270,372.939835
53212,306,373.419899
27049,127,373.632891
32165,168,375.760559
20265,88,375.905739
76853,414,376.526575
11144,47,376.608362
37720,165,376.868731
55649,205,377.19415
20265,88,377.349796
11315,48,377.439527
113006,426,378.100429
106806,214,378.450546
48860,171,378.731827
64831,245,381.004166
117488,424,381.638136
188313,373,382.193378
43897,164,382.446894
69916,580,383.342942
31999,167,383.617798
27215,128,383.837727
67864,326,386.276432
20265,88,386.41307
40230,367,386.946313
11315,48,387.02208
61751,244,387.380125
11149,47,387.453927
20265,88,387.591587
36330,116,387.772666
51370,205,388.082868
58240,325,388.577218
20350,113,388.753777
2423,273,391.027801
71242,285,391.464195
-68367,784,392.648752
92899,173,392.920587
31999,167,393.188903
69851,324,393.728584
11315,48,393.810393
31965,328,396.178835
11315,48,396.262383
11315,48,396.337183
40585,233,396.68839
11149,47,396.763189
34644,95,396.912789
10094,167,397.165115
20265,88,397.302747
11315,48,397.378545
26277,114,397.553078
42641,165,397.816542
11315,48,397.89536
53479,205,398.219192
11149,47,398.296985
58985,205,398.620121
20265,88,398.767725
20265,88,398.92331
38885,153,401.05398
34949,207,401.361348
48105,166,401.610186
24472,79,401.734856
39331,123,401.919372
139025,309,402.381635
48529,243,402.754671
70265,264,403.161196
11149,47,403.241012
31985,117,403.441477
27049,127,403.643907
11315,48,403.723724
11315,48,403.800517
32835,125,403.998471
32186,124,406.065772
34854,287,406.495148
49324,164,406.741488
20099,87,406.874135
73675,231,407.219184
20099,87,407.359867
64501,234,407.722756
11315,48,407.802111
47377,204,408.116833
11149,47,408.195622
72594,233,408.557652
54437,186,408.857391
35125,138,409.077888
30045,112,411.129609
70089,481,411.865154
27415,98,412.035314
27049,127,412.24441
32165,168,412.504236
50559,386,413.112982
46442,130,413.329963
-52884,632,416.206711
11149,47,416.284501
13965,74,416.404012
42062,165,416.656002
27215,128,416.85775
39021,125,417.052824
61362,190,417.356802
48791,165,417.62079
98370,327,418.124058
20094,87,418.279642
25252,85,418.431802
11154,47,418.511587
27215,128,418.725529
11315,48,418.804316
27215,128,419.017938
11315,48,419.101718
11315,48,419.18555
25955,85,419.335175
56974,203,421.546318
32004,167,421.798293
24965,74,421.922963
71063,256,422.311468
25832,83,422.450236
66395,176,422.734249
74508,401,423.351879
25002,84,423.497055
20104,87,423.646311
87241,319,424.142102
41861,118,424.341604
42522,117,424.533666
34949,207,426.735427
66961,283,427.161316
48893,144,427.395825
19119,72,427.510548
43182,110,427.69062
11144,47,427.778948
44467,166,428.03883
20265,88,428.187462
11315,48,428.274796
118082,246,428.653825
43803,278,429.08985
76439,470,431.692311
11149,47,431.77213
11315,48,431.850749
11315,48,431.932503
20265,88,432.075179
11315,48,432.159857
20265,88,432.30749
73801,305,432.773417
11144,47,432.857731
20265,88,433.005365
27215,128,433.213672
29745,105,433.398209
11149,47,433.479992
27215,128,433.688498
20265,88,433.843938
20265,88,433.999525
11315,48,434.082926
