#{"t_start": 1685775315.2208188, "env_id": null}
r,l,t
-245685,248,74.738382
-154385,208,74.976741
-485,88,75.091435
-485,88,75.201143
-846189,369,75.625425
-651,87,75.733728
-485,88,75.840444
-198974,153,76.024415
-651,87,76.153167
-447446,298,76.486279
10649,47,76.54612
-154385,208,76.781487
10815,48,76.844319
24501,85,76.952034
-2371191,421,77.407075
16152,124,77.558707
37955,156,77.735794
53420,223,77.986125
-828284,442,78.469832
-26498,74,78.561586
26781,78,78.661919
-193095,244,78.92721
-17944,170,79.120795
-3034605,812,79.976173
-186727,245,80.25044
-91261,214,80.492488
10815,48,80.554323
-485,88,80.661994
-63624,206,80.901389
-1019794,540,81.488946
16303,125,81.640541
24335,84,81.742271
-83150,291,82.069077
10649,47,82.126934
10815,48,82.186793
19430,125,82.338423
17083,195,82.570829
175,118,82.711232
-69111,198,82.939751
26318,78,83.042477
-245851,247,83.32173
-281500,277,83.628909
-31936,127,83.781503
-46817,159,83.964551
-121398,269,84.268774
-45744,140,84.437444
-651,87,84.543728
10815,48,84.60656
-485,88,84.714276
-31785,128,84.861877
-79257,205,85.109217
-485,88,85.221915
10815,48,85.284753
-1166439,523,85.848354
10654,47,85.911965
-83085,168,86.105432
-31785,128,86.260051
-31785,128,86.411646
-83085,168,86.599145
10815,48,86.656992
-56517,119,86.807588
10644,47,86.87042
10815,48,86.932252
20099,118,87.077865
-651,87,87.18757
10815,48,87.248971
10815,48,87.312837
45346,114,87.446477
-244116,112,87.586103
-1002351,447,88.103058
-1305,192,88.320476
10649,47,88.377331
-31785,128,88.533907
10815,48,88.592749
10815,48,88.65259
10815,48,88.712434
10815,48,88.774772
-444235,308,89.121925
-636,87,89.229636
-54451,165,89.415685
-651,87,89.524385
-57521,204,89.752778
-24711,233,90.017071
-56929,205,90.250012
-118060,310,90.595159
-476857,363,91.000735
-485,88,91.107448
-485,88,91.216163
-485,88,91.329856
25367,85,91.438565
10649,47,91.490424
-31785,128,91.638033
-1444785,528,92.216711
-54365,165,92.414805
43003,154,92.594324
-636,87,92.706026
-1942018,429,93.181755
-31951,127,93.335594
-245685,248,93.616382
-54233,165,93.810893
-146647,147,93.996958
-651,87,94.110655
-114837,237,94.371956
-33495,164,94.563452
-651,87,94.677141
-154385,208,94.909086
10815,48,94.969953
10815,48,95.032788
-485,88,95.141502
-973103,486,95.675389
-485,88,95.786091
-83085,168,95.983536
-390231,288,96.301713
-651,87,96.40743
-83085,168,96.606005
-485,88,96.717742
10815,48,96.78057
10815,48,96.844398
